REGION,FUEL,TIMESLICE,YEAR,VALUE
REG1,EL01,1,2023,0.000418678
REG1,EL01,2,2023,0.000418678
REG1,EL01,3,2023,0.000418678
REG1,EL01,4,2023,0.000418678
REG1,EL01,5,2023,0.000418678
REG1,EL01,6,2023,0.000418678
REG1,EL01,7,2023,0.000418678
REG1,EL01,8,2023,0.000418678
REG1,EL01,9,2023,0.000418678
REG1,EL01,10,2023,0.000418678
REG1,EL01,11,2023,0.000418678
REG1,EL01,12,2023,0.000418678
REG1,EL01,13,2023,0.000418678
REG1,EL01,14,2023,0.000418678
REG1,EL01,15,2023,0.000418678
REG1,EL01,16,2023,0.000418678
REG1,EL01,17,2023,0.000418678
REG1,EL01,18,2023,0.000418678
REG1,EL01,19,2023,0.000418678
REG1,EL01,20,2023,0.000418678
REG1,EL01,21,2023,0.000418678
REG1,EL01,22,2023,0.000418678
REG1,EL01,23,2023,0.000418678
REG1,EL01,24,2023,0.000418678
REG1,EL01,25,2023,0.000418678
REG1,EL01,26,2023,0.000418678
REG1,EL01,27,2023,0.000418678
REG1,EL01,28,2023,0.000418678
REG1,EL01,29,2023,0.000418678
REG1,EL01,30,2023,0.000418678
REG1,EL01,31,2023,0.000418678
REG1,EL01,32,2023,0.000418678
REG1,EL01,33,2023,0.000418678
REG1,EL01,34,2023,0.000418678
REG1,EL01,35,2023,0.002033577
REG1,EL01,36,2023,0.002033577
REG1,EL01,37,2023,0.002033577
REG1,EL01,38,2023,0.001423504
REG1,EL01,39,2023,0.001423504
REG1,EL01,40,2023,0.001423504
REG1,EL01,41,2023,0.001423504
REG1,EL01,42,2023,0.001423504
REG1,EL01,43,2023,0.001423504
REG1,EL01,44,2023,0.001423504
REG1,EL01,45,2023,0.001423504
REG1,EL01,46,2023,0.001423504
REG1,EL01,47,2023,0.001423504
REG1,EL01,48,2023,0.002033577
REG1,EL01,49,2023,0.002033577
REG1,EL01,50,2023,0.002033577
REG1,EL01,51,2023,0.001294095
REG1,EL01,52,2023,0.001294095
REG1,EL01,53,2023,0.001294095
REG1,EL01,54,2023,0.001294095
REG1,EL01,55,2023,0.001294095
REG1,EL01,56,2023,0.001294095
REG1,EL01,57,2023,0.001294095
REG1,EL01,58,2023,0.001294095
REG1,EL01,59,2023,0.001294095
REG1,EL01,60,2023,0.001294095
REG1,EL01,61,2023,0.001294095
REG1,EL01,62,2023,0.002033577
REG1,EL01,63,2023,0.002033577
REG1,EL01,64,2023,0.002033577
REG1,EL01,65,2023,0.001294095
REG1,EL01,66,2023,0.001294095
REG1,EL01,67,2023,0.001294095
REG1,EL01,68,2023,0.001294095
REG1,EL01,69,2023,0.001294095
REG1,EL01,70,2023,0.001294095
REG1,EL01,71,2023,0.001294095
REG1,EL01,72,2023,0.001294095
REG1,EL01,73,2023,0.001294095
REG1,EL01,74,2023,0.001294095
REG1,EL01,75,2023,0.001294095
REG1,EL01,76,2023,0.002033577
REG1,EL01,77,2023,0.002033577
REG1,EL01,78,2023,0.002033577
REG1,EL01,79,2023,0.001095003
REG1,EL01,80,2023,0.001095003
REG1,EL01,81,2023,0.001095003
REG1,EL01,82,2023,0.001095003
REG1,EL01,83,2023,0.001095003
REG1,EL01,84,2023,0.001095003
REG1,EL01,85,2023,0.001095003
REG1,EL01,86,2023,0.001095003
REG1,EL01,87,2023,0.001095003
REG1,EL01,88,2023,0.001095003
REG1,EL01,89,2023,0.001095003
REG1,EL01,90,2023,0.001095003
REG1,EL01,91,2023,0.001095003
REG1,EL01,92,2023,0.002033577
REG1,EL01,93,2023,0.002033577
REG1,EL01,94,2023,0.002033577
REG1,EL01,95,2023,0.001016789
REG1,EL01,96,2023,0.001016789
REG1,EL01,97,2023,0.001016789
REG1,EL01,98,2023,0.001016789
REG1,EL01,99,2023,0.001016789
REG1,EL01,100,2023,0.001016789
REG1,EL01,101,2023,0.001016789
REG1,EL01,102,2023,0.001016789
REG1,EL01,103,2023,0.001016789
REG1,EL01,104,2023,0.001016789
REG1,EL01,105,2023,0.001016789
REG1,EL01,106,2023,0.001016789
REG1,EL01,107,2023,0.001016789
REG1,EL01,108,2023,0.001016789
REG1,EL01,109,2023,0.002033577
REG1,EL01,110,2023,0.002033577
REG1,EL01,111,2023,0.002033577
REG1,EL01,112,2023,0.000749213
REG1,EL01,113,2023,0.000749213
REG1,EL01,114,2023,0.000749213
REG1,EL01,115,2023,0.000749213
REG1,EL01,116,2023,0.000749213
REG1,EL01,117,2023,0.000749213
REG1,EL01,118,2023,0.000749213
REG1,EL01,119,2023,0.000749213
REG1,EL01,120,2023,0.000749213
REG1,EL01,121,2023,0.000749213
REG1,EL01,122,2023,0.000749213
REG1,EL01,123,2023,0.000749213
REG1,EL01,124,2023,0.000749213
REG1,EL01,125,2023,0.000749213
REG1,EL01,126,2023,0.000749213
REG1,EL01,127,2023,0.000749213
REG1,EL01,128,2023,0.000749213
REG1,EL01,129,2023,0.000749213
REG1,EL01,130,2023,0.000749213
REG1,EL01,131,2023,0.002033577
REG1,EL01,132,2023,0.002033577
REG1,EL01,133,2023,0.002033577
REG1,EL01,134,2023,0.000316334
REG1,EL01,135,2023,0.000316334
REG1,EL01,136,2023,0.000316334
REG1,EL01,137,2023,0.000316334
REG1,EL01,138,2023,0.000316334
REG1,EL01,139,2023,0.000316334
REG1,EL01,140,2023,0.000316334
REG1,EL01,141,2023,0.000316334
REG1,EL01,142,2023,0.000316334
REG1,EL01,143,2023,0.000316334
REG1,EL01,144,2023,0.000316334
REG1,EL01,145,2023,0.000316334
REG1,EL01,146,2023,0.000316334
REG1,EL01,147,2023,0.000316334
REG1,EL01,148,2023,0.000316334
REG1,EL01,149,2023,0.000316334
REG1,EL01,150,2023,0.000316334
REG1,EL01,151,2023,0.000316334
REG1,EL01,152,2023,0.000316334
REG1,EL01,153,2023,0.000316334
REG1,EL01,154,2023,0.000316334
