REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REG1,GRID,212,2023,1
REG1,GRID,213,2023,1
REG1,GRID,214,2023,1
REG1,GRID,215,2023,1
REG1,GRID,216,2023,1
REG1,GRID,217,2023,1
REG1,GRID,218,2023,1
REG1,GRID,219,2023,1
REG1,GRID,220,2023,1
REG1,GRID,221,2023,1
REG1,GRID,222,2023,1
REG1,GRID,223,2023,1
REG1,GRID,224,2023,1
REG1,GRID,225,2023,1
REG1,GRID,226,2023,1
REG1,GRID,227,2023,1
REG1,GRID,228,2023,1
REG1,GRID,229,2023,1
REG1,GRID,230,2023,1
REG1,GRID,231,2023,1
REG1,GRID,232,2023,1
REG1,GRID,233,2023,1
REG1,GRID,234,2023,1
REG1,GRID,235,2023,1
REG1,GRID,236,2023,1
REG1,GRID,237,2023,1
REG1,GRID,238,2023,1
REG1,GRID,239,2023,1
REG1,GRID,240,2023,1
REG1,GRID,241,2023,1
REG1,GRID,242,2023,1
REG1,GRID,243,2023,1
REG1,GRID,244,2023,1
REG1,GRID,245,2023,1
REG1,GRID,246,2023,1
REG1,GRID,247,2023,1
REG1,GRID,248,2023,1
REG1,GRID,249,2023,1
REG1,GRID,250,2023,1
REG1,GRID,251,2023,1
REG1,GRID,252,2023,1
REG1,GRID,253,2023,1
REG1,GRID,254,2023,1
REG1,GRID,255,2023,1
REG1,GRID,256,2023,1
REG1,GRID,257,2023,1
REG1,GRID,258,2023,1
REG1,GRID,259,2023,1
REG1,GRID,260,2023,1
REG1,GRID,261,2023,1
REG1,GRID,262,2023,1
REG1,GRID,263,2023,1
REG1,GRID,264,2023,1
REG1,GRID,265,2023,1
REG1,GRID,266,2023,1
REG1,GRID,267,2023,1
REG1,GRID,268,2023,1
REG1,GRID,269,2023,1
REG1,GRID,270,2023,1
REG1,GRID,271,2023,1
REG1,GRID,272,2023,1
REG1,GRID,273,2023,1
REG1,GRID,274,2023,1
REG1,GRID,275,2023,1
REG1,GRID,276,2023,1
REG1,GRID,277,2023,1
REG1,GRID,278,2023,1
REG1,GRID,279,2023,1
REG1,GRID,280,2023,1
REG1,GRID,281,2023,1
REG1,GRID,282,2023,1
REG1,GRID,283,2023,1
REG1,GRID,284,2023,1
REG1,GRID,285,2023,1
REG1,GRID,286,2023,1
REG1,GRID,287,2023,1
REG1,GRID,288,2023,1
REG1,GRID,289,2023,1
REG1,GRID,290,2023,1
REG1,GRID,291,2023,1
REG1,GRID,292,2023,1
REG1,GRID,293,2023,1
REG1,GRID,294,2023,1
REG1,GRID,295,2023,1
REG1,GRID,296,2023,1
REG1,GRID,297,2023,1
REG1,GRID,298,2023,1
REG1,GRID,299,2023,1
REG1,GRID,300,2023,1
REG1,GRID,301,2023,1
REG1,GRID,302,2023,1
REG1,GRID,303,2023,1
REG1,GRID,304,2023,1
REG1,GRID,305,2023,1
REG1,GRID,306,2023,1
REG1,GRID,307,2023,1
REG1,GRID,308,2023,1
REG1,GRID,309,2023,1
REG1,GRID,310,2023,1
REG1,GRID,311,2023,1
REG1,GRID,312,2023,1
REG1,GRID,313,2023,1
REG1,GRID,314,2023,1
REG1,GRID,315,2023,1
REG1,GRID,316,2023,1
REG1,GRID,317,2023,1
REG1,GRID,318,2023,1
REG1,GRID,319,2023,1
REG1,GRID,320,2023,1
REG1,GRID,321,2023,1
REG1,GRID,322,2023,1
REG1,GRID,323,2023,1
REG1,GRID,324,2023,1
REG1,GRID,325,2023,1
REG1,GRID,326,2023,1
REG1,GRID,327,2023,1
REG1,GRID,328,2023,1
REG1,GRID,329,2023,1
REG1,GRID,330,2023,1
REG1,GRID,331,2023,1
REG1,GRID,332,2023,1
REG1,GRID,333,2023,1
REG1,GRID,334,2023,1
REG1,GRID,335,2023,1
REG1,GRID,336,2023,1
REG1,GRID,337,2023,1
REG1,GRID,338,2023,1
REG1,GRID,339,2023,1
REG1,GRID,340,2023,1
REG1,GRID,341,2023,1
REG1,GRID,342,2023,1
REG1,GRID,343,2023,1
REG1,GRID,344,2023,1
REG1,GRID,345,2023,1
REG1,GRID,346,2023,1
REG1,GRID,347,2023,1
REG1,GRID,348,2023,1
REG1,GRID,349,2023,1
REG1,GRID,350,2023,1
REG1,GRID,351,2023,1
REG1,GRID,352,2023,1
REG1,GRID,353,2023,1
REG1,GRID,354,2023,1
REG1,GRID,355,2023,1
REG1,GRID,356,2023,1
REG1,GRID,357,2023,1
REG1,GRID,358,2023,1
REG1,GRID,359,2023,1
REG1,GRID,360,2023,1
REG1,GRID,361,2023,1
REG1,GRID,362,2023,1
REG1,GRID,363,2023,1
REG1,GRID,364,2023,1
REG1,GRID,365,2023,1
REG1,GRID,366,2023,1
REG1,GRID,367,2023,1
REG1,GRID,368,2023,1
REG1,GRID,369,2023,1
REG1,GRID,370,2023,1
REG1,GRID,371,2023,1
REG1,GRID,372,2023,1
REG1,GRID,373,2023,1
REG1,GRID,374,2023,1
REG1,GRID,375,2023,1
REG1,GRID,376,2023,1
REG1,GRID,377,2023,1
REG1,GRID,378,2023,1
REG1,GRID,379,2023,1
REG1,GRID,380,2023,1
REG1,GRID,381,2023,1
REG1,GRID,382,2023,1
REG1,GRID,383,2023,1
REG1,GRID,384,2023,1
REG1,GRID,385,2023,1
REG1,GRID,386,2023,1
REG1,GRID,387,2023,1
REG1,GRID,388,2023,1
REG1,GRID,389,2023,1
REG1,GRID,390,2023,1
REG1,GRID,391,2023,1
REG1,GRID,392,2023,1
REG1,GRID,393,2023,1
REG1,GRID,394,2023,1
REG1,GRID,395,2023,1
REG1,GRID,396,2023,1
REG1,GRID,397,2023,1
REG1,GRID,398,2023,1
REG1,GRID,399,2023,1
REG1,GRID,400,2023,1
REG1,GRID,401,2023,1
REG1,GRID,402,2023,1
REG1,GRID,403,2023,1
REG1,GRID,404,2023,1
REG1,GRID,405,2023,1
REG1,GRID,406,2023,1
REG1,GRID,407,2023,1
REG1,GRID,408,2023,1
REG1,GRID,409,2023,1
REG1,GRID,410,2023,1
REG1,GRID,411,2023,1
REG1,GRID,412,2023,1
REG1,GRID,413,2023,1
REG1,GRID,414,2023,1
REG1,GRID,415,2023,1
REG1,GRID,416,2023,1
REG1,GRID,417,2023,1
REG1,GRID,418,2023,1
REG1,GRID,419,2023,1
REG1,GRID,420,2023,1
REG1,GRID,421,2023,1
REG1,GRID,422,2023,1
REG1,GRID,423,2023,1
REG1,GRID,424,2023,1
REG1,GRID,425,2023,1
REG1,GRID,426,2023,1
REG1,GRID,427,2023,1
REG1,GRID,428,2023,1
REG1,GRID,429,2023,1
REG1,GRID,430,2023,1
REG1,GRID,431,2023,1
REG1,GRID,432,2023,1
REG1,GRID,433,2023,1
REG1,GRID,434,2023,1
REG1,GRID,435,2023,1
REG1,GRID,436,2023,1
REG1,GRID,437,2023,1
REG1,GRID,438,2023,1
REG1,GRID,439,2023,1
REG1,GRID,440,2023,1
REG1,GRID,441,2023,1
REG1,GRID,442,2023,1
REG1,GRID,443,2023,1
REG1,GRID,444,2023,1
REG1,GRID,445,2023,1
REG1,GRID,446,2023,1
REG1,GRID,447,2023,1
REG1,GRID,448,2023,1
REG1,GRID,449,2023,1
REG1,GRID,450,2023,1
REG1,GRID,451,2023,1
REG1,GRID,452,2023,1
REG1,GRID,453,2023,1
REG1,GRID,454,2023,1
REG1,GRID,455,2023,1
REG1,GRID,456,2023,1
REG1,GRID,457,2023,1
REG1,GRID,458,2023,1
REG1,GRID,459,2023,1
REG1,GRID,460,2023,1
REG1,GRID,461,2023,1
REG1,GRID,462,2023,1
REG1,GRID,463,2023,1
REG1,GRID,464,2023,1
REG1,GRID,465,2023,1
REG1,GRID,466,2023,1
REG1,GRID,467,2023,1
REG1,GRID,468,2023,1
REG1,GRID,469,2023,1
REG1,GRID,470,2023,1
REG1,GRID,471,2023,1
REG1,GRID,472,2023,1
REG1,GRID,473,2023,1
REG1,GRID,474,2023,1
REG1,GRID,475,2023,1
REG1,GRID,476,2023,1
REG1,GRID,477,2023,1
REG1,GRID,478,2023,1
REG1,GRID,479,2023,1
REG1,GRID,480,2023,1
REG1,GRID,481,2023,1
REG1,GRID,482,2023,1
REG1,GRID,483,2023,1
REG1,GRID,484,2023,1
REG1,GRID,485,2023,1
REG1,GRID,486,2023,1
REG1,GRID,487,2023,1
REG1,GRID,488,2023,1
REG1,GRID,489,2023,1
REG1,GRID,490,2023,1
REG1,GRID,491,2023,1
REG1,GRID,492,2023,1
REG1,GRID,493,2023,1
REG1,GRID,494,2023,1
REG1,GRID,495,2023,1
REG1,GRID,496,2023,1
REG1,GRID,497,2023,1
REG1,GRID,498,2023,1
REG1,GRID,499,2023,1
REG1,GRID,500,2023,1
REG1,GRID,501,2023,1
REG1,GRID,502,2023,1
REG1,GRID,503,2023,1
REG1,GRID,504,2023,1
REG1,GRID,505,2023,1
REG1,GRID,506,2023,1
REG1,GRID,507,2023,1
REG1,GRID,508,2023,1
REG1,GRID,509,2023,1
REG1,GRID,510,2023,1
REG1,GRID,511,2023,1
REG1,GRID,512,2023,1
REG1,GRID,513,2023,1
REG1,GRID,514,2023,1
REG1,GRID,515,2023,1
REG1,GRID,516,2023,1
REG1,GRID,517,2023,1
REG1,GRID,518,2023,1
REG1,GRID,519,2023,1
REG1,GRID,520,2023,1
REG1,GRID,521,2023,1
REG1,GRID,522,2023,1
REG1,GRID,523,2023,1
REG1,GRID,524,2023,1
REG1,GRID,525,2023,1
REG1,GRID,526,2023,1
REG1,GRID,527,2023,1
REG1,GRID,528,2023,1
REG1,GRID,529,2023,1
REG1,GRID,530,2023,1
REG1,GRID,531,2023,1
REG1,GRID,532,2023,1
REG1,GRID,533,2023,1
REG1,GRID,534,2023,1
REG1,GRID,535,2023,1
REG1,GRID,536,2023,1
REG1,GRID,537,2023,1
REG1,GRID,538,2023,1
REG1,GRID,539,2023,1
REG1,GRID,540,2023,1
REG1,GRID,541,2023,1
REG1,GRID,542,2023,1
REG1,GRID,543,2023,1
REG1,GRID,544,2023,1
REG1,GRID,545,2023,1
REG1,GRID,546,2023,1
REG1,GRID,547,2023,1
REG1,GRID,548,2023,1
REG1,GRID,549,2023,1
REG1,GRID,550,2023,1
REG1,GRID,551,2023,1
REG1,GRID,552,2023,1
REG1,GRID,553,2023,1
REG1,GRID,554,2023,1
REG1,GRID,555,2023,1
REG1,GRID,556,2023,1
REG1,GRID,557,2023,1
REG1,GRID,558,2023,1
REG1,GRID,559,2023,1
REG1,GRID,560,2023,1
REG1,GRID,561,2023,1
REG1,GRID,562,2023,1
REG1,GRID,563,2023,1
REG1,GRID,564,2023,1
REG1,GRID,565,2023,1
REG1,GRID,566,2023,1
REG1,GRID,567,2023,1
REG1,GRID,568,2023,1
REG1,GRID,569,2023,1
REG1,GRID,570,2023,1
REG1,GRID,571,2023,1
REG1,GRID,572,2023,1
REG1,GRID,573,2023,1
REG1,GRID,574,2023,1
REG1,GRID,575,2023,1
REG1,GRID,576,2023,1
REG1,GRID,577,2023,1
REG1,GRID,578,2023,1
REG1,GRID,579,2023,1
REG1,GRID,580,2023,1
REG1,GRID,581,2023,1
REG1,GRID,582,2023,1
REG1,GRID,583,2023,1
REG1,GRID,584,2023,1
REG1,GRID,585,2023,1
REG1,GRID,586,2023,1
REG1,GRID,587,2023,1
REG1,GRID,588,2023,1
REG1,GRID,589,2023,1
REG1,GRID,590,2023,1
REG1,GRID,591,2023,1
REG1,GRID,592,2023,1
REG1,GRID,593,2023,1
REG1,GRID,594,2023,1
REG1,GRID,595,2023,1
REG1,GRID,596,2023,1
REG1,GRID,597,2023,1
REG1,GRID,598,2023,1
REG1,GRID,599,2023,1
REG1,GRID,600,2023,1
REG1,GRID,601,2023,1
REG1,GRID,602,2023,1
REG1,GRID,603,2023,1
REG1,GRID,604,2023,1
REG1,GRID,605,2023,1
REG1,GRID,606,2023,1
REG1,GRID,607,2023,1
REG1,GRID,608,2023,1
REG1,GRID,609,2023,1
REG1,GRID,610,2023,1
REG1,GRID,611,2023,1
REG1,GRID,612,2023,1
REG1,GRID,613,2023,1
REG1,GRID,614,2023,1
REG1,GRID,615,2023,1
REG1,GRID,616,2023,1
REG1,GRID,617,2023,1
REG1,GRID,618,2023,1
REG1,GRID,619,2023,1
REG1,GRID,620,2023,1
REG1,GRID,621,2023,1
REG1,GRID,622,2023,1
REG1,GRID,623,2023,1
REG1,GRID,624,2023,1
REG1,GRID,625,2023,1
REG1,GRID,626,2023,1
REG1,GRID,627,2023,1
REG1,GRID,628,2023,1
REG1,GRID,629,2023,1
REG1,GRID,630,2023,1
REG1,GRID,631,2023,1
REG1,GRID,632,2023,1
REG1,GRID,633,2023,1
REG1,GRID,634,2023,1
REG1,GRID,635,2023,1
REG1,GRID,636,2023,1
REG1,GRID,637,2023,1
REG1,GRID,638,2023,1
REG1,GRID,639,2023,1
REG1,GRID,640,2023,1
REG1,GRID,641,2023,1
REG1,GRID,642,2023,1
REG1,GRID,643,2023,1
REG1,GRID,644,2023,1
REG1,GRID,645,2023,1
REG1,GRID,646,2023,1
REG1,GRID,647,2023,1
REG1,GRID,648,2023,1
REG1,GRID,649,2023,1
REG1,GRID,650,2023,1
REG1,GRID,651,2023,1
REG1,GRID,652,2023,1
REG1,GRID,653,2023,1
REG1,GRID,654,2023,1
REG1,GRID,655,2023,1
REG1,GRID,656,2023,1
REG1,GRID,657,2023,1
REG1,GRID,658,2023,1
REG1,GRID,659,2023,1
REG1,GRID,660,2023,1
REG1,GRID,661,2023,1
REG1,GRID,662,2023,1
REG1,GRID,663,2023,1
REG1,GRID,664,2023,1
REG1,GRID,665,2023,1
REG1,GRID,666,2023,1
REG1,GRID,667,2023,1
REG1,GRID,668,2023,1
REG1,GRID,669,2023,1
REG1,GRID,670,2023,1
REG1,GRID,671,2023,1
REG1,GRID,672,2023,1
REG1,GRID,673,2023,1
REG1,GRID,674,2023,1
REG1,GRID,675,2023,1
REG1,GRID,676,2023,1
REG1,GRID,677,2023,1
REG1,GRID,678,2023,1
REG1,GRID,679,2023,1
REG1,GRID,680,2023,1
REG1,GRID,681,2023,1
REG1,GRID,682,2023,1
REG1,GRID,683,2023,1
REG1,GRID,684,2023,1
REG1,GRID,685,2023,1
REG1,GRID,686,2023,1
REG1,GRID,687,2023,1
REG1,GRID,688,2023,1
REG1,GRID,689,2023,1
REG1,GRID,690,2023,1
REG1,GRID,691,2023,1
REG1,GRID,692,2023,1
REG1,GRID,693,2023,1
REG1,GRID,694,2023,1
REG1,GRID,695,2023,1
REG1,GRID,696,2023,1
REG1,GRID,697,2023,1
REG1,GRID,698,2023,1
REG1,GRID,699,2023,1
REG1,GRID,700,2023,1
REG1,GRID,701,2023,1
REG1,GRID,702,2023,1
REG1,GRID,703,2023,1
REG1,GRID,704,2023,1
REG1,GRID,705,2023,1
REG1,GRID,706,2023,1
REG1,GRID,707,2023,1
REG1,GRID,708,2023,1
REG1,GRID,709,2023,1
REG1,GRID,710,2023,1
REG1,GRID,711,2023,1
REG1,GRID,712,2023,1
REG1,GRID,713,2023,1
REG1,GRID,714,2023,1
REG1,GRID,715,2023,1
REG1,GRID,716,2023,1
REG1,GRID,717,2023,1
REG1,GRID,718,2023,1
REG1,GRID,719,2023,1
REG1,GRID,720,2023,1
REG1,GRID,721,2023,1
REG1,GRID,722,2023,1
REG1,GRID,723,2023,1
REG1,GRID,724,2023,1
REG1,GRID,725,2023,1
REG1,GRID,726,2023,1
REG1,GRID,727,2023,1
REG1,GRID,728,2023,1
REG1,GRID,729,2023,1
REG1,GRID,730,2023,1
REG1,GRID,731,2023,1
REG1,GRID,732,2023,1
REG1,GRID,733,2023,1
REG1,GRID,734,2023,1
REG1,GRID,735,2023,1
REG1,GRID,736,2023,1
REG1,GRID,737,2023,1
REG1,GRID,738,2023,1
REG1,GRID,739,2023,1
REG1,GRID,740,2023,1
REG1,GRID,741,2023,1
REG1,GRID,742,2023,1
REG1,GRID,743,2023,1
REG1,GRID,744,2023,1
REG1,GRID,745,2023,1
REG1,GRID,746,2023,1
REG1,GRID,747,2023,1
REG1,GRID,748,2023,1
REG1,GRID,749,2023,1
REG1,GRID,750,2023,1
REG1,GRID,751,2023,1
REG1,GRID,752,2023,1
REG1,GRID,753,2023,1
REG1,GRID,754,2023,1
REG1,GRID,755,2023,1
REG1,GRID,756,2023,1
REG1,GRID,757,2023,1
REG1,GRID,758,2023,1
REG1,GRID,759,2023,1
REG1,GRID,760,2023,1
REG1,GRID,761,2023,1
REG1,GRID,762,2023,1
REG1,GRID,763,2023,1
REG1,GRID,764,2023,1
REG1,GRID,765,2023,1
REG1,GRID,766,2023,1
REG1,GRID,767,2023,1
REG1,GRID,768,2023,1
REG1,GRID,769,2023,1
REG1,GRID,770,2023,1
REG1,GRID,771,2023,1
REG1,GRID,772,2023,1
REG1,GRID,773,2023,1
REG1,GRID,774,2023,1
REG1,GRID,775,2023,1
REG1,GRID,776,2023,1
REG1,GRID,777,2023,1
REG1,GRID,778,2023,1
REG1,GRID,779,2023,1
REG1,GRID,780,2023,1
REG1,GRID,781,2023,1
REG1,GRID,782,2023,1
REG1,GRID,783,2023,1
REG1,GRID,784,2023,1
REG1,GRID,785,2023,1
REG1,GRID,786,2023,1
REG1,GRID,787,2023,1
REG1,GRID,788,2023,1
REG1,GRID,789,2023,1
REG1,GRID,790,2023,1
REG1,GRID,791,2023,1
REG1,GRID,792,2023,1
REG1,GRID,793,2023,1
REG1,GRID,794,2023,1
REG1,GRID,795,2023,1
REG1,GRID,796,2023,1
REG1,GRID,797,2023,1
REG1,GRID,798,2023,1
REG1,GRID,799,2023,1
REG1,GRID,800,2023,1
REG1,GRID,801,2023,1
REG1,GRID,802,2023,1
REG1,GRID,803,2023,1
REG1,GRID,804,2023,1
REG1,GRID,805,2023,1
REG1,GRID,806,2023,1
REG1,GRID,807,2023,1
REG1,GRID,808,2023,1
REG1,GRID,809,2023,1
REG1,GRID,810,2023,1
REG1,GRID,811,2023,1
REG1,GRID,812,2023,1
REG1,GRID,813,2023,1
REG1,GRID,814,2023,1
REG1,GRID,815,2023,1
REG1,GRID,816,2023,1
REG1,GRID,817,2023,1
REG1,GRID,818,2023,1
REG1,GRID,819,2023,1
REG1,GRID,820,2023,1
REG1,GRID,821,2023,1
REG1,GRID,822,2023,1
REG1,GRID,823,2023,1
REG1,GRID,824,2023,1
REG1,GRID,825,2023,1
REG1,GRID,826,2023,1
REG1,GRID,827,2023,1
REG1,GRID,828,2023,1
REG1,GRID,829,2023,1
REG1,GRID,830,2023,1
REG1,GRID,831,2023,1
REG1,GRID,832,2023,1
REG1,GRID,833,2023,1
REG1,GRID,834,2023,1
REG1,GRID,835,2023,1
REG1,GRID,836,2023,1
REG1,GRID,837,2023,1
REG1,GRID,838,2023,1
REG1,GRID,839,2023,1
REG1,GRID,840,2023,1
REG1,GRID,841,2023,1
REG1,GRID,842,2023,1
REG1,GRID,843,2023,1
REG1,GRID,844,2023,1
REG1,GRID,845,2023,1
REG1,GRID,846,2023,1
REG1,GRID,847,2023,1
REG1,GRID,848,2023,1
REG1,GRID,849,2023,1
REG1,GRID,850,2023,1
REG1,GRID,851,2023,1
REG1,GRID,852,2023,1
REG1,GRID,853,2023,1
REG1,GRID,854,2023,1
REG1,GRID,855,2023,1
REG1,GRID,856,2023,1
REG1,GRID,857,2023,1
REG1,GRID,858,2023,1
REG1,GRID,859,2023,1
REG1,GRID,860,2023,1
REG1,GRID,861,2023,1
REG1,GRID,862,2023,1
REG1,GRID,863,2023,1
REG1,GRID,864,2023,1
REG1,GRID,865,2023,1
REG1,GRID,866,2023,1
REG1,GRID,867,2023,1
REG1,GRID,868,2023,1
REG1,GRID,869,2023,1
REG1,GRID,870,2023,1
REG1,GRID,871,2023,1
REG1,GRID,872,2023,1
REG1,GRID,873,2023,1
REG1,GRID,874,2023,1
REG1,GRID,875,2023,1
REG1,GRID,876,2023,1
REG1,GRID,877,2023,1
REG1,GRID,878,2023,1
REG1,GRID,879,2023,1
REG1,GRID,880,2023,1
REG1,GRID,881,2023,1
REG1,GRID,882,2023,1
REG1,GRID,883,2023,1
REG1,GRID,884,2023,1
REG1,GRID,885,2023,1
REG1,GRID,886,2023,1
REG1,GRID,887,2023,1
REG1,GRID,888,2023,1
REG1,GRID,889,2023,1
REG1,GRID,890,2023,1
REG1,GRID,891,2023,1
REG1,GRID,892,2023,1
REG1,GRID,893,2023,1
REG1,GRID,894,2023,1
REG1,GRID,895,2023,1
REG1,GRID,896,2023,1
REG1,GRID,897,2023,1
REG1,GRID,898,2023,1
REG1,GRID,899,2023,1
REG1,GRID,900,2023,1
REG1,GRID,901,2023,1
REG1,GRID,902,2023,1
REG1,GRID,903,2023,1
REG1,GRID,904,2023,1
REG1,GRID,905,2023,1
