Use By Technology (Energy Units)

,REG1
Technology,Fuel,Timeslice,2023
GRID,EL01,264,0
GRID,EL01,265,0
GRID,EL01,266,0
GRID,EL01,267,0
GRID,EL01,268,0
GRID,EL01,269,0
GRID,EL01,270,0
GRID,EL01,271,0
GRID,EL01,272,0
GRID,EL01,273,0
GRID,EL01,274,0
GRID,EL01,275,0
GRID,EL01,276,0
GRID,EL01,277,0
GRID,EL01,278,0
GRID,EL01,279,0
GRID,EL01,280,0
GRID,EL01,281,0
GRID,EL01,282,0
GRID,EL01,283,0
GRID,EL01,284,0
GRID,EL01,285,0
GRID,EL01,286,0
GRID,EL01,287,0
GRID,EL01,288,0
GRID,EL01,289,0
GRID,EL01,290,0
GRID,EL01,291,0
GRID,EL01,292,0
GRID,EL01,293,0
GRID,EL01,294,0
GRID,EL01,295,0
GRID,EL01,296,0
GRID,EL01,297,0
GRID,EL01,298,0
GRID,EL01,299,0
GRID,EL01,300,0
GRID,EL01,301,0
GRID,EL01,302,0
GRID,EL01,303,0
GRID,EL01,304,0
GRID,EL01,305,0
GRID,EL01,306,0
GRID,EL01,307,0
GRID,EL01,308,0
GRID,EL01,309,0
GRID,EL01,310,0
GRID,EL01,311,0
GRID,EL01,312,0
GRID,EL01,313,0
GRID,EL01,314,0
GRID,EL01,315,0
GRID,EL01,316,0
GRID,EL01,317,0
GRID,EL01,318,0
GRID,EL01,319,0
GRID,EL01,320,0
GRID,EL01,321,0
GRID,EL01,322,0
GRID,EL01,323,0
GRID,EL01,324,0
GRID,EL01,325,0
GRID,EL01,326,0
GRID,EL01,327,0
GRID,EL01,328,0
GRID,EL01,329,0
GRID,EL01,330,0
GRID,EL01,331,0
GRID,EL01,332,0
GRID,EL01,333,0
GRID,EL01,334,0
GRID,EL01,335,0
GRID,EL01,336,0
GRID,EL01,337,0
GRID,EL01,338,0
GRID,EL01,339,0
GRID,EL01,340,0
GRID,EL01,341,0
GRID,EL01,342,0
GRID,EL01,343,0
GRID,EL01,344,0
GRID,EL01,345,0
GRID,EL01,346,0
GRID,EL01,347,0
GRID,EL01,348,0
GRID,EL01,349,0
GRID,EL01,350,0
GRID,EL01,351,0
GRID,EL01,352,0
GRID,EL01,353,0
GRID,EL01,354,0
GRID,EL01,355,0
GRID,EL01,356,0
GRID,EL01,357,0
GRID,EL01,358,0
GRID,EL01,359,0
GRID,EL01,360,0
GRID,EL01,361,0
GRID,EL01,362,0
GRID,EL01,363,0
GRID,EL01,364,0
GRID,EL01,365,0
GRID,EL01,366,0
GRID,EL01,367,0
GRID,EL01,368,0
GRID,EL01,369,0
GRID,EL01,370,0
GRID,EL01,371,0
GRID,EL01,372,0
GRID,EL01,373,0
GRID,EL01,374,0
GRID,EL01,375,0
GRID,EL01,376,0
GRID,EL01,377,0
GRID,EL01,378,0
GRID,EL01,379,0
GRID,EL01,380,0
GRID,EL01,381,0
GRID,EL01,382,0
GRID,EL01,383,0
GRID,EL01,384,0
GRID,EL01,385,0
GRID,EL01,386,0
GRID,EL01,387,0
GRID,EL01,388,0
GRID,EL01,389,0
GRID,EL01,390,0
GRID,EL01,391,0
GRID,EL01,392,0
GRID,EL01,393,0
GRID,EL01,394,0
GRID,EL01,395,0
GRID,EL01,396,0
GRID,EL01,397,0
GRID,EL01,398,0
GRID,EL01,399,0
GRID,EL01,400,0
GRID,EL01,401,0
GRID,EL01,402,0
GRID,EL01,403,0
GRID,EL01,404,0
GRID,EL01,405,0
GRID,EL01,406,0
GRID,EL01,407,0
GRID,EL01,408,0
GRID,EL01,409,0
GRID,EL01,410,0
GRID,EL01,411,0
GRID,EL01,412,0
GRID,EL01,413,0
GRID,EL01,414,0
GRID,EL01,415,0
GRID,EL01,416,0
GRID,EL01,417,0
GRID,EL01,418,0
GRID,EL01,419,0
GRID,EL01,420,0
GRID,EL01,421,0
GRID,EL01,422,0
GRID,EL01,423,0
GRID,EL01,424,0
GRID,EL01,425,0
GRID,EL01,426,0
GRID,EL01,427,0
GRID,EL01,428,0
GRID,EL01,429,0
GRID,EL01,430,0
GRID,EL01,431,0
GRID,EL01,432,0
GRID,EL01,433,0
GRID,EL01,434,0
GRID,EL01,435,0
GRID,EL01,436,0
GRID,EL01,437,0
GRID,EL01,438,0
GRID,EL01,439,0
GRID,EL01,440,0
GRID,EL01,441,0
GRID,EL01,442,0
GRID,EL01,443,0
GRID,EL01,444,0
GRID,EL01,445,0
GRID,EL01,446,0
GRID,EL01,447,0
GRID,EL01,448,0
GRID,EL01,449,0
GRID,EL01,450,0
GRID,EL01,451,0
GRID,EL01,452,0
GRID,EL01,453,0
GRID,EL01,454,0
GRID,EL01,455,0
GRID,EL01,456,0
GRID,EL01,457,0
GRID,EL01,458,0
GRID,EL01,459,0
GRID,EL01,460,0
