
Time Dependent Production (Energy Units) Test

,REG1
Fuel,Timeslice,2023
EL01,126,11.8622
EL01,127,11.8622
EL01,128,11.8622
EL01,129,11.8622
EL01,130,11.8622
EL01,131,11.8622
EL01,132,11.8622
EL01,133,11.8622
EL01,134,11.8622
EL01,135,11.8622
EL01,136,11.8622
EL01,137,11.8622
EL01,138,11.8622
EL01,139,11.8622
EL01,140,11.8622
EL01,141,11.8622
EL01,142,11.8622
EL01,143,11.8622
EL01,144,11.8622
EL01,145,11.8622
EL01,146,11.8622
EL01,147,11.8622
EL01,148,11.8622
EL01,149,11.8622
EL01,150,11.8622
EL01,151,11.8622
EL01,152,11.8622
EL01,153,11.8622
EL01,154,11.8622
EL01,155,11.8622
EL01,156,11.8622
EL01,157,11.8622
EL01,158,11.8622
EL01,159,11.8622
EL01,160,11.8622
EL01,161,11.8622
EL01,162,11.8622
EL01,163,11.8622
EL01,164,11.8622
EL01,165,11.8622
EL01,166,11.8622
EL01,167,11.8622
EL01,168,11.8622
EL01,169,11.8622
EL01,170,11.8622
EL01,171,11.8622
EL01,172,11.8622
EL01,173,11.8622
EL01,174,11.8622
EL01,175,11.8622
EL01,176,11.8622
EL01,177,11.8622
EL01,178,11.8622
EL01,179,11.8622
EL01,180,11.8622
EL01,181,11.8622
EL01,182,11.8622
EL01,183,11.8622
EL01,184,11.8622
EL01,185,11.8622
EL01,186,11.8622
EL01,187,11.8622
EL01,188,11.8622
EL01,189,11.8622
EL01,190,11.8622
EL01,191,11.8622
EL01,192,11.8622
EL01,193,11.8622
EL01,194,11.8622
EL01,195,11.8622
EL01,196,11.8622
EL01,197,11.8622
EL01,198,11.8622
EL01,199,11.8622
EL01,200,11.8622
EL01,201,11.8622
EL01,202,11.8622
EL01,203,11.8622
EL01,204,11.8622
EL01,205,11.8622
EL01,206,11.8622
EL01,207,11.8622
EL01,208,11.8622
EL01,209,11.8622
EL01,210,11.8622
EL01,211,11.8622
EL01,212,11.8622
EL01,213,11.8622
EL01,214,11.8622
EL01,215,11.8622
EL01,216,11.8622
EL01,217,11.8622
